id_venda,data,id_cliente,id_livro,quantidade,id_funcionario,nome,cidade,idade,titulo,categoria,autor,preco,custo,funcionario,faturamento,custo_total,lucro,mes,nome_mes
169,2025-04-20,17,12,3,3,Cliente 17,Pelotas,30,Mindset,Desenvolvimento Pessoal,Carol Dweck,85,43,João,255,129,126,4,April
170,2025-07-02,92,6,3,4,Cliente 92,Porto Alegre,41,A Revolução dos Bichos,Ficção,George Orwell,66,40,Marina,198,120,78,7,July
171,2025-01-28,83,9,4,3,Cliente 83,Pelotas,61,O Senhor dos Anéis,Fantasia,J.R.R. Tolkien,81,42,João,324,168,156,1,January
172,2025-07-16,54,20,3,2,Cliente 54,Pelotas,41,O Alquimista,Ficção,Paulo Coelho,86,63,Carlos,258,189,69,7,July
173,2025-07-10,62,1,1,4,Cliente 62,Pelotas,66,Dom Casmurro,Clássico,Machado de Assis,102,58,Marina,102,58,44,7,July
174,2025-11-11,87,15,1,4,Cliente 87,Pelotas,49,Python para Dados,Tecnologia,Autor Diversos,101,43,Marina,101,43,58,11,November
175,2025-02-20,32,6,3,2,Cliente 32,Porto Alegre,47,A Revolução dos Bichos,Ficção,George Orwell,66,40,Carlos,198,120,78,2,February
176,2025-05-29,40,19,2,4,Cliente 40,Pelotas,69,A Menina que Roubava Livros,Romance,Markus Zusak,78,43,Marina,156,86,70,5,May
177,2025-09-25,13,18,4,3,Cliente 13,Pelotas,32,Coraline,Fantasia,Neil Gaiman,42,21,João,168,84,84,9,September
178,2025-02-19,84,6,3,1,Cliente 84,Rio Grande,43,A Revolução dos Bichos,Ficção,George Orwell,66,40,Ana,198,120,78,2,February
179,2025-09-03,35,13,3,1,Cliente 35,Porto Alegre,42,Sapiens,História,Yuval Noah Harari,85,55,Ana,255,165,90,9,September
180,2025-04-23,5,1,3,2,Cliente 5,Porto Alegre,69,Dom Casmurro,Clássico,Machado de Assis,102,58,Carlos,306,174,132,4,April
181,2025-06-19,73,13,2,3,Cliente 73,Rio Grande,19,Sapiens,História,Yuval Noah Harari,85,55,João,170,110,60,6,June
182,2025-06-15,29,7,2,4,Cliente 29,Porto Alegre,61,It: A Coisa,Terror,Stephen King,94,58,Marina,188,116,72,6,June
183,2025-01-14,70,15,2,4,Cliente 70,Pelotas,66,Python para Dados,Tecnologia,Autor Diversos,101,43,Marina,202,86,116,1,January
184,2025-07-22,25,12,4,1,Cliente 25,Pelotas,62,Mindset,Desenvolvimento Pessoal,Carol Dweck,85,43,Ana,340,172,168,7,July
185,2025-10-15,95,1,1,4,Cliente 95,Pelotas,51,Dom Casmurro,Clássico,Machado de Assis,102,58,Marina,102,58,44,10,October
